ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GHA,Ghana,0.328303493,0.328316191,0.328470322,0.328625419,0.335004372,0.341405759,0.335556352,0.329837109,0.336549773,0.333630207,0.32737593,0.326764603,0.332802482,0.341217608,0.349338961,0.347150136,0.352146777,0.350239595,0.357244178,0.345404773,0.348170249,0.345469096,0.350978783,0.350110473,0.350983508,0.347030063,0.34641327,0.347962011
GRC,Greece,0.425864124,0.429660848,0.437998029,0.443951149,0.449746419,0.457119423,0.464115933,0.468502663,0.468814613,0.475129508,0.47097285,0.497417205,0.495878753,0.49327822,0.494443852,0.493630899,0.485004655,0.477450335,0.494742938,0.507961752,0.51130492,0.501600523,0.501578372,0.510646327,0.516941288,0.525216332,0.531256205,0.52973972
GRD,Grenada,0.475010797,0.475316555,0.476441454,0.477191881,0.477490769,0.478327814,0.478259792,0.481480223,0.487789264,0.482943865,0.500655148,0.440252589,0.43429195,0.429833299,0.4315919,0.449830414,0.462439256,0.470715457,0.483228167,0.499891545,0.517558803,0.521682968,0.518510385,0.511810128,0.513751138,0.518106028,0.532080943,0.53441322
GTM,Guatemala,0.27001308,0.269735979,0.274766086,0.278987377,0.280122202,0.282268577,0.279872575,0.277815918,0.276275116,0.287717053,0.278231208,0.258196069,0.268870446,0.274351588,0.274266913,0.286990657,0.286258194,0.283156224,0.290024688,0.311840729,0.314871805,0.31602909,0.310272986,0.308134485,0.314843405,0.30962433,0.308435161,0.309441748
GIN,Guinea,0.291372954,0.291317197,0.294836724,0.298387285,0.289194114,0.280010451,0.286523006,0.293105653,0.301168351,0.294756962,0.278936968,0.23295599,0.221946854,0.23285545,0.234260281,0.233673904,0.241238996,0.247287096,0.262553983,0.278065046,0.293944095,0.306678007,0.303734353,0.302519537,0.309376289,0.309550968,0.307720526,0.308932873
GNB,Guinea-Bissau,0.298975576,0.298983093,0.292500944,0.286027996,0.30486203,0.323785356,0.32294412,0.32231374,0.322715033,0.316900886,0.337155919,0.266024694,0.2644431,0.258496672,0.257393925,0.240587204,0.238854595,0.24369501,0.241673951,0.255442268,0.256803968,0.264135592,0.266816139,0.266316392,0.268512511,0.26584733,0.274195433,0.274521886
GUY,Guyana,0.362331668,0.363021132,0.364541904,0.364609915,0.358176289,0.352201811,0.350895042,0.349061455,0.348806373,0.347410493,0.309001239,0.305626903,0.303660905,0.302879994,0.299079442,0.298296124,0.295429042,0.28954008,0.295967506,0.308347256,0.307906422,0.319223663,0.315173348,0.318392552,0.326222679,0.332484589,0.339542198,0.341405476
HTI,Haiti,0.246319903,0.246319862,0.244353495,0.242411827,0.244178959,0.2460403,0.235351831,0.224873417,0.221943618,0.210294124,0.205603391,0.207708686,0.213819378,0.219080787,0.223308969,0.219970633,0.216217361,0.224639506,0.23138503,0.230247923,0.228141451,0.24015837,0.239243644,0.239382243,0.232919141,0.230463389,0.222776225,0.216975902
HND,Honduras,0.264354869,0.263666783,0.274868543,0.274111031,0.272540051,0.271412112,0.273017959,0.26781312,0.268503902,0.274278531,0.265228893,0.25984348,0.275956843,0.280380863,0.292283837,0.284831842,0.27345214,0.263549859,0.268531532,0.274676647,0.275709021,0.27071456,0.271963098,0.271737897,0.264583691,0.264243346,0.25871732,0.263565206
HUN,Hungary,0.495263735,0.486052111,0.487757267,0.49173397,0.493896476,0.50121233,0.513274522,0.518639311,0.508808139,0.512739744,0.512107792,0.531667344,0.529554038,0.531113963,0.537242508,0.524993092,0.532437901,0.530646427,0.528844085,0.520413059,0.51430426,0.502450278,0.501367053,0.495222106,0.498475122,0.498491325,0.49996514,0.493164882
ISL,Iceland,0.565965453,0.563120615,0.579186933,0.613610308,0.616313794,0.649338184,0.648491376,0.67480152,0.678626512,0.686828575,0.69092572,0.713138441,0.740828585,0.725622739,0.731156481,0.731909774,0.729855825,0.712896561,0.713662064,0.754130178,0.732472335,0.715360907,0.714250326,0.733123593,0.720570508,0.712254368,0.709795818,0.700331411
